what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291223539748
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291223579034
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237401211
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291237412602
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237419639
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237425081
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237490892
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237493071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291237500148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238074004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238079063
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238079110
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291238096832
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291238255367
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238259808
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1291238259996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238260969
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238305410
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291238313094
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291238499320
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1291238620301
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291238688214
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238692022
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1291238692083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238692485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238755864
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1291238756096
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1291238756201
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291238782744
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238785346
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238865202
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.1.v201008170101,"org.eclipse.wst.jsdt.debug.ui",1291238868841
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238873448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238901793
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238905265
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291238987774
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291238997993
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291238998016
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1291238998018
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291239012243
closed,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239012248
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239022267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239022342
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239038801
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239038826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1291239038829
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291239064637
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239068676
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239083077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239433805
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291239438010
closed,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239438013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239444174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239453071
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239459286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239481087
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239503349
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1291239503369
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1291239503372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239549497
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239762582
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291239766848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291240472097
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1291240472747
started,bundle,org.eclipse.tptp.platform.integration.pde,4.5.1.v201009092123,"org.eclipse.tptp.platform.integration.pde",1291240472948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291240474022
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291241903414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291241903430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291241906392
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.window.previousPerspective",1291241906396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291241927163
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291241927264
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1291241927336
closed,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1291241927452
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291241927532
